Index,eHf(t),2s,Age,Type
1,2.04,0.403022351,515,I
2,2.28,0.69214008,515,I
3,2.48,0.672745547,515,I
4,1.96,0.735850848,515,I
5,2.29,0.641643435,515,I
6,1.63,0.670276819,515,I
7,2.49,0.639672044,515,I
8,0.73,0.571955134,515,I
9,1.95,0.629781891,515,I
10,0.77,0.545555808,515,I
11,3.37,0.576600787,515,I
12,1.97,0.561470839,515,I
13,1.81,0.753051754,515,I
14,2.17,0.627196372,515,I
15,1.05,0.577519311,515,I
16,1.81,0.597035536,515,I
17,1.46,0.610160577,515,I
18,-4.51,0.517878066,510,I
19,-4.62,0.754028102,510,I
20,-2.81,0.752279655,510,I
21,-4.51,1.042679494,510,I
22,-2.94,0.599478879,510,I
23,-3.02,0.897070565,510,I
24,-2.91,0.740962484,510,I
25,-2.03,0.651293629,510,I
26,-3.92,0.673698969,510,I
27,-1.93,0.727718037,510,I
28,-3.48,0.62265753,510,I
29,-6.6,0.580102278,500,I-S
30,-6.03,0.572165424,500,I-S
31,-6.44,0.638360505,500,I-S
32,-6.38,0.738310633,500,I-S
33,-5.47,0.998256774,500,I-S
34,-5.12,0.606829297,500,I-S
35,-6.32,0.590829141,500,I-S
36,-5.91,0.608413655,500,I-S
37,0.01,0.730077515,488,A
38,2.24,0.817754883,488,A
39,-0.83,0.685329005,488,A
40,2.27,0.603173463,488,A
41,3.18,0.595705878,488,A
42,2.89,0.864108674,488,A
43,2.77,0.514691239,488,A
44,2.62,0.496824588,488,A
45,2.9,0.643911764,488,A
46,1.88,0.788479351,488,A
47,4.66,0.893396723,488,A
48,2.72,0.728272864,488,A
49,4.33,1.026179959,488,A
50,4.23,0.722102356,488,A
51,12.15,0.894259099,484,Macquarie Arc
52,12.4,1.017448787,484,Macquarie Arc
53,12.06,0.86890634,484,Macquarie Arc
54,12.17,0.881852416,484,Macquarie Arc
55,12.09,1.017751843,484,Macquarie Arc
56,12.45,1.13394437,484,Macquarie Arc
57,12.88,0.875299838,484,Macquarie Arc
58,12.45,1.13965316,484,Macquarie Arc
59,12.51,1.222967911,484,Macquarie Arc
60,11.35,1.257510176,484,Macquarie Arc
61,12.62,1.011670246,484,Macquarie Arc
62,11.76,1.576138111,484,Macquarie Arc
63,12.67,0.84384176,484,Macquarie Arc
64,12.86,0.966704245,484,Macquarie Arc
65,13.24,1.618012705,484,Macquarie Arc
66,11.33,0.907353764,484,Macquarie Arc
67,12.64,0.874875567,484,Macquarie Arc
68,12.65,1.25989602,484,Macquarie Arc
69,12.34,0.964687285,484,Macquarie Arc
70,13.22,0.59,457,Macquarie Arc
71,13.18,0.86,457,Macquarie Arc
72,13.19,0.8,457,Macquarie Arc
73,10.63,2.54,451,Macquarie Arc
74,10.67,1.97,451,Macquarie Arc
75,11.19,1.97,451,Macquarie Arc
76,11.35,1.23,440,Macquarie Arc
77,11.44,1.4,440,Macquarie Arc
78,9.86,2.47,440,Macquarie Arc
79,10.22,1.22,440,Macquarie Arc
80,10.17,1.67,440,Macquarie Arc
81,10.94,0.76,440,Macquarie Arc
82,10.72,0.67,440,Macquarie Arc
83,10.77,0.46,440,Macquarie Arc
84,10.15,0.8,440,Macquarie Arc
85,10.67,0.79,440,Macquarie Arc
86,10.7,0.8,440,Macquarie Arc
87,11.25,0.68,440,Macquarie Arc
88,9.84,1.049338159,439,Macquarie Arc
89,9.39,0.449034629,439,Macquarie Arc
90,10.15,0.638205761,439,Macquarie Arc
91,9.25,0.659363356,439,Macquarie Arc
92,9.43,1.31125054,439,Macquarie Arc
93,9.4,0.912329719,439,Macquarie Arc
94,9.32,1.292921051,439,Macquarie Arc
95,9.87,0.890278725,439,Macquarie Arc
96,9.31,1.155020472,439,Macquarie Arc
97,9.19,2.057200441,439,Macquarie Arc
98,8.87,2.124066151,439,Macquarie Arc
99,9.7,1.003762041,439,Macquarie Arc
100,10.29,0.774947574,439,Macquarie Arc
101,9.6,1.06077056,439,Macquarie Arc
102,10.52,0.91128373,439,Macquarie Arc
103,9.34,0.866943781,439,Macquarie Arc
104,9.47,0.739518073,439,Macquarie Arc
105,10.04,1.595726078,439,Macquarie Arc
106,8.97,1.279144452,439,Macquarie Arc
107,9.56,0.85035275,439,Macquarie Arc
108,9.75,1.445138397,439,Macquarie Arc
109,9.83,1.227873449,439,Macquarie Arc
110,9.53,1.384630571,439,Macquarie Arc
111,9.83,1.677662709,439,Macquarie Arc
112,9.5,0.904982744,439,Macquarie Arc
113,10.05,1.366025252,439,Macquarie Arc
114,8.75,2.26,439,Macquarie Arc
115,10.41,3.52,439,Macquarie Arc
116,10.32,3.09,439,Macquarie Arc
117,-6.98,0.55,430,S
118,-9.43,0.99,430,S
119,-8.17,0.75,430,S
120,-7.35,0.66,430,S
121,-6.77,0.49,430,S
122,-8.14,0.62,430,S
123,-6.28,0.98,430,S
124,-10.85,0.99,430,S
125,-9.68,1.63,430,S
126,-5.81,0.49,430,S
127,-5.76,0.42,430,S
128,-7.2,0.53,430,S
129,-7.61,0.86,430,S
130,-8.75,0.44,430,S
131,-8.21,0.57,430,S
132,-7.63,0.52,430,S
133,-7.37,0.54,430,S
134,-7.55,1.09,430,S
135,-7.22,0.98,430,S
136,-7.97,1.36,430,S
137,-8.22,0.66,430,S
138,-7.91,0.97,430,S
139,-8.3,0.82,430,S
140,-10.2,0.83,429,S
141,-11.06,0.59,429,S
142,-11.3,0.59,429,S
143,-10.24,0.44,429,S
144,-10.2,0.87,429,S
145,-9.22,0.45,429,S
146,-8.05,0.74,429,S
147,-8.29,0.7,429,S
148,-9.25,0.81,429,S
149,-11.35,0.75,429,S
150,-10.88,0.81,429,S
151,-8.3,0.86,429,S
152,-9.03,0.73,428,S
153,-9.77,0.73,428,S
154,-11.46,0.74,428,S
155,-9,0.59,428,S
156,-10.64,0.63,428,S
157,-9.93,0.57,428,S
158,-8.8,0.56,428,S
159,-9.99,0.59,428,S
160,-8.96,0.65,428,S
161,-11.48,0.81,428,S
162,-9.7,0.82,428,S
163,-10.01,0.72,428,S
164,-10.29,0.64,428,S
165,-7.42,0.53,428,S
166,-8.52,0.69,428,S
167,-8.12,0.6,428,S
168,-9.63,0.64,428,S
169,-9.59,0.65,428,S
170,-9.94,0.7,428,S
171,-11.97,0.4,428,S
172,-9.08,0.6,428,S
173,-8.92,0.6,428,S
174,-10.17,0.51,428,S
175,-6.39,0.78,428,S
176,-8.91,0.59,428,S
177,-7.93,0.52,428,S
178,-7.14,0.53,428,S
179,-8.84,0.77,428,S
180,-9.87,0.63,428,S
181,-7.82,0.44,428,S
182,-6.76,0.51,428,S
183,-6.63,0.87,414,I
184,-4.97,0.45,414,I
185,-4.49,0.54,414,I
186,-6.18,0.66,414,I
187,-5.94,0.7,414,I
188,-4.59,0.69,414,I
189,-5.87,0.66,414,I
190,-5.37,0.88,414,I
191,-5.4,0.8,414,I
192,-5.1,0.68,414,I
193,-5.45,0.49,414,I
194,-5.28,0.59,414,I
195,-5.05,0.44,414,I
196,-5.22,0.64,414,I
197,-5.66,0.43,414,I
198,-5.15,0.77,414,I
199,-5.49,0.58,414,I
200,-5.12,0.53,414,I
201,-4.93,0.5,414,I
202,-4.99,0.71,414,I
203,-4.96,0.6,414,I
204,-4.8,0.64,414,I
205,-5.43,0.49,414,I
206,-5.03,0.59,414,I
207,-5.83,0.75,414,I
208,-5.22,0.46,414,I
209,-6.37,0.86,414,I
210,-5.48,0.52,414,I
211,-5.37,0.48,414,I
212,-5.45,0.71,414,I
213,-5,0.78,414,I
214,-5.62,0.52,414,I
215,-5.23,0.68,414,I
216,-5.3,0.69,414,I
217,-5.37,0.6,414,I
218,-5.18,1.13,414,I
219,-5.24,0.6,414,I
220,-5.32,0.74,414,I
221,-4.83,0.7,414,I
222,-5.37,0.71,414,I
223,-5.02,1.18,414,I
224,-5.22,0.97,414,I
225,-4.95,0.57,414,I
226,-5.45,0.82,414,I
227,-4.49,0.71,414,I
228,-4.85,0.65,414,I
229,-4.96,0.85,414,I
230,-4.68,0.56,414,I
231,-4.63,0.76,414,I
232,-4.94,0.56,414,I
233,-5.87,0.6,414,I
234,-5.07,0.5,414,I
235,-4.94,0.85,414,I
236,-6.16,0.59,414,I
237,-5.27,0.68,414,I
238,-4.7,0.62,414,I
239,-4.54,0.58,414,I
240,-5.05,0.53,414,I
241,-4.32,0.64,414,I
242,-5.89,0.77,414,I
243,-4.85,0.57,414,I
244,-5.75,0.66,414,I
245,-5.03,0.84,414,I
246,-5.27,0.63,414,I
247,-4.68,0.45,414,I
248,-4.66,0.56,414,I
249,-5.74,0.5,414,I
250,-4.86,0.48,414,I
251,-4.64,0.44,414,I
252,-4.78,0.44,414,I
253,-4.72,0.44,414,I
254,-5.97,0.53,414,I
255,-5.47,0.8,414,I
256,-5.05,0.68,414,I
257,-5.38,0.64,414,I
258,-4.28,0.65,414,I
259,-4.53,0.77,414,I
260,-6.01,0.67,414,I
261,-4.87,0.9,414,I
262,-4.94,0.46,414,I
263,-5.28,0.54,414,I
264,-5.46,0.49,414,I
265,-5.88,0.67,414,I
266,-4.73,0.53,414,I
267,-5.13,0.5,414,I
268,-4.94,0.45,414,I
269,-5.13,0.4,414,I
270,-5.37,0.48,414,I
271,-3.74,0.77,414,I
272,-4.71,0.64,414,I
273,-4.93,0.61,414,I
274,-4.66,0.57,414,I
275,-5.4,0.65,414,I
276,-5.32,0.57,414,I
277,-4.79,0.7,414,I
278,-4.84,0.88,414,I
279,-5.12,1.02,414,I
280,-4.79,0.52,414,I
281,-4.68,0.59,414,I
282,-4.24,0.56,414,I
283,-4.71,0.58,414,I
284,-5.09,0.62,414,I
285,-5.58,0.61,414,I
286,-4.19,0.54,414,I
287,-4.71,0.59,414,I
288,-5.14,0.49,414,I
289,-4.99,0.52,414,I
290,-5.58,0.54,414,I
291,0.44,0.53,388,A
292,3.97,0.56,388,A
293,4.1,1.04,388,A
294,0.68,1.13,388,A
295,3.57,0.81,388,A
296,4.8,1,388,A
297,5.08,0.89,388,A
298,0.47,0.65,388,A
299,1.11,0.72,388,A
300,1.68,0.69,388,A
301,3.85,1.09,388,A
302,1.81,0.82,388,A
303,1.18,0.93,388,A
304,4.81,1.04,388,A
305,0.93,0.5,388,A
306,1.14,0.7,388,A
307,5.14,0.75,388,A
308,-0.3,0.92,388,A
309,3.47,1.11,388,A
310,3.09,1.14,388,A
311,4.24,0.93,388,A
312,0.14,0.73,388,A
313,2.48,0.97,388,A
314,0.94,1.02,388,A
315,2.92,0.88,388,A
316,1.61,0.73,388,A
317,2.14,0.87,388,A
318,-0.44,0.91,388,A
319,0.87,1.13,388,A
320,1.52,0.79,388,A
321,0.04,0.78,388,A
322,2,0.46,388,A
323,0.87,0.63,388,A
324,0.63,1.06,388,A
325,1.57,0.71,388,A
326,1.84,0.66,388,A
327,1.33,0.8,388,A
328,1.28,1.21,388,A
329,1.51,0.51,388,A
330,1.22,0.76,388,A
331,0.58,0.45,388,A
332,1.24,0.81,388,A
333,0.92,0.56,388,A
334,0.99,0.88,388,A
335,0.8,0.73,388,A
336,1.28,0.93,388,A
337,1.46,0.62,388,A
338,1.81,1.04,388,A
339,0.58,1.18,388,A
340,1.3,0.78,388,A
341,9.18,1.47,375,A
342,10.11,1.02,375,A
343,10.51,0.6,375,A
344,9.75,1.32,375,A
345,10.02,0.62,375,A
346,9.49,0.69,375,A
347,10.84,1,375,A
348,9.81,0.56,375,A
349,9.51,0.75,375,A
350,9.31,0.86,375,A
351,10.48,0.9,375,A
352,10.26,0.83,375,A
353,9.84,0.75,375,A
354,10.58,1.92,375,A
355,9.59,0.74,375,A
356,9.67,1.02,375,A
357,9.72,1.34,375,A
358,9.32,0.59,375,A
359,4.07,0.74,302,S
360,5.44,0.79,302,S
361,5.5,0.69,302,S
362,5.18,0.58,302,S
363,5.06,0.89,302,S
364,6.23,0.6,302,S
365,5.77,0.51,302,S
366,6.92,0.54,302,S
367,5.7,0.55,302,S
368,5.54,0.58,302,S
369,4.88,0.73,302,S
370,4.14,0.64,302,S
371,5.32,0.6,290,S
372,3.85,0.64,290,S
373,3.38,0.75,290,S
374,2.45,0.78,290,S
375,3.66,0.85,290,S
376,3.98,0.53,290,S
377,3.96,0.66,292,S
378,5.94,0.69,292,S
379,4.64,0.58,292,S
380,4.19,0.7,292,S
381,3.12,1.16,292,S
382,5.28,0.43,292,S
383,6.06,0.78,288,S
384,5.38,0.43,288,S
385,10.98,0.75,252,I
386,10.94,0.54,252,I
387,10.85,0.63,252,I
388,10.97,0.72,252,I
389,9.81,0.78,252,I
390,10.94,0.7,252,I
391,10.17,0.65,252,I
392,10.63,0.63,252,I
393,10.31,0.53,252,I
394,10.38,0.46,249,I
395,9.7,0.45,249,I
396,9.8,0.54,249,I
397,10.27,0.47,249,I
398,10.05,0.36,249,I
399,10.14,0.49,249,I
400,11.03,0.7,269,I
401,10.78,0.78,269,I
402,10.97,0.75,269,I
403,11.72,0.83,269,I
404,11.22,0.75,269,I
405,11.26,0.81,269,I
406,12.02,0.53,269,I
407,10.87,0.63,269,I
408,11.39,0.74,269,I
409,11.67,0.71,269,I
410,7.01,0.7,252,I
411,7.15,0.59,252,I
412,6.85,0.41,252,I
413,6.34,0.57,252,I
414,5.66,0.69,252,I
415,6.61,0.51,252,I
416,6.54,0.54,252,I
417,6.79,0.69,252,I
418,9.08,1.28,295,I
419,8.97,1.49,295,I
420,9.73,1.27,295,I
421,9.83,1.72,295,I
422,7.78,1.37,295,I
423,8.77,1.47,295,I
424,9.37,1.22,295,I
425,8.36,1.31,295,I
426,9.92,1.8,295,I
