Body,Sample,Co_ppm,Ni_ppm,Al_pct,Ti_pct,S_ppm,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Sn_ppm,Sr_ppm,Th_ppm,Be_ppm,Tl_ppm,U_ppm,W_ppm,Y_ppm,Zr_ppm,Cs_ppm,Ga_ppm,Hf_ppm,In_ppm,Rb_ppm,Re_ppm,Mg_pct,Mn_pct,Mo_ppm,Nb_ppm,Sb_ppm,Sc_ppm,Ta_ppm,Te_ppm,V_ppm,Ca_pct,K_pct,La_ppm,Li_ppm,Na_pct,P_pct,Se_ppm,Ba_ppm,Cd_ppm,Fe_pct,Cr_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/238,16,76.6,1.54,0.069,9300,1063,0.39,4716.1,3.34,75.49,11.23,125.5,4.6,11,1.8,1,0.67,0.5,9.2,8.3,22.4,46.1,7.74,0.65,0.5,65,0.001,1.08,0.1184,0.83,1.94,1.05,4,0.1,0.45,25,4.24,0.7,6.3,6.8,0.19,0.038,0.8,83,0.52,26.75,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/241,3.7,19.3,0.44,0.024,2800,721,0.162,9,2.15,23.36,4.22,147.1,2.3,11,0.6,0.5,0.4,0.1,0.4,5,5.9,11,5.24,0.15,0.19,30.3,0.001,0.5,0.1251,0.57,0.6,0.22,1.4,0.05,0.1,10,2.75,0.3,3.4,2.2,0.009,0.026,0.15,20,0.49,37.65,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/196,3,26,0.75,0.03,5800,1241,0.162,1.1,3.89,48.41,4.33,162.6,1.4,21,1.3,0.5,0.53,0.5,0.3,3.4,7.3,17.9,8.81,0.2,0.18,38.8,0.002,0.99,0.0972,0.39,0.71,0.2,2,0.05,0.16,13,1.4,0.43,2.3,3.7,0.073,0.031,0.3,30,0.33,32.46,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/198,5.2,32.5,0.76,0.03,4000,1399,0.109,1.7,4.26,33.43,3.46,144.9,1.3,25,0.8,0.5,0.56,0.2,0.4,3.9,7.8,20.5,5.71,0.2,0.2,38.6,0.001,0.98,0.1052,0.17,0.69,0.23,1.8,0.05,0.14,12,1.93,0.46,3.9,4.2,0.039,0.036,0.15,31,0.37,32.28,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/199,8,62.2,1.3,0.052,4300,712,0.061,2173.1,2.46,23.45,4.22,192.1,1.4,33,1.4,0.5,0.5,0.4,0.4,5.3,15.7,32,5.86,0.34,0.22,41.8,0.003,1.18,0.1808,0.64,1.39,0.63,3.3,0.1,0.11,23,3.36,0.47,6.1,5.9,0.079,0.031,0.15,49,0.54,25.72,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/201,9.1,66.8,1.87,0.068,1500,94,0.033,1424,0.38,4.8,2.22,344.9,2.3,23,1.6,0.5,0.24,0.5,0.3,5.6,20.7,22.6,6.14,0.53,0.25,19,0.001,1.43,0.1789,1.45,1.68,0.46,4.7,0.1,0.025,31,2.09,0.27,5.4,6.6,0.042,0.029,0.15,47,0.4,22.89,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/202,9.7,72.2,1.96,0.071,2200,172,0.043,1910.7,0.67,7.88,3.8,444.3,2.7,38,1.7,0.5,0.35,0.5,2.2,6.5,26.6,30,8.36,0.79,0.31,30.1,0.001,1.49,0.2198,1.28,1.98,0.55,4.8,0.2,0.17,31,3.18,0.37,6.2,7.3,0.132,0.028,0.15,53,0.59,26.25,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/203,9.8,67.7,1.75,0.067,2400,375,0.046,2255.6,1.79,6.53,2.87,492.6,2.2,27,1.7,0.5,0.44,0.5,5.7,5.8,21.8,37.2,7.98,0.62,0.45,39.2,0.004,1.41,0.1996,1.11,1.78,0.65,4.1,0.1,0.21,28,2.25,0.45,7.4,7.6,0.097,0.03,0.15,64,0.43,24.58,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/171,4.6,29.5,0.73,0.034,3500,1442,0.138,2.4,4.07,40.31,4.09,135.6,1.6,111,0.6,0.5,0.63,0.05,0.7,5.2,7.4,19.2,4.64,0.17,0.12,49,0.001,1.18,0.1002,0.94,0.7,0.21,1.9,0.05,0.16,12,2.75,0.48,3.3,4.7,0.013,0.033,0.5,42,0.29,30.05,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/185,2.6,18.8,0.39,0.018,2300,790,0.151,2.6,2.51,32.48,3.34,114.9,1.9,111,0.4,0.5,0.34,0.2,0.4,4.1,4.3,9.7,5.63,0.13,0.17,24.6,0.001,0.69,0.0677,0.93,0.38,0.26,0.7,0.05,0.2,8,2.11,0.23,2,1.9,0.01,0.031,0.15,17,0.34,34.22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/186,3.3,18.9,0.46,0.022,3400,703,0.182,2.6,2.69,57,3.48,110.4,1.8,111,0.4,0.5,0.31,0.1,0.5,3.9,4.5,10.4,6.39,0.13,0.13,21.2,0.001,0.79,0.0931,0.94,0.51,0.3,1.2,0.05,0.1,10,2.14,0.25,2.2,1.6,0.019,0.031,0.15,19,0.27,34.34,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/191,3.9,36.6,0.51,0.022,4200,1067,0.166,2.5,3.29,55.45,2.96,142.5,1.8,111,0.5,0.5,0.38,0.1,0.2,4.2,5.4,12.3,5.1,0.16,0.19,27.2,0.001,0.89,0.0694,0.66,0.45,0.2,1.3,0.05,0.21,12,2.05,0.29,2.2,1.8,0.011,0.029,0.15,23,0.32,35,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/127,3.5,22.9,0.4,0.017,7600,551,0.098,1.8,1.63,62.61,2.03,125.1,1.6,111,0.3,0.5,0.19,0.05,0.4,3.7,4,11.8,3.55,0.08,0.13,18.7,0.009,0.85,0.0812,0.76,0.36,0.32,1,0.05,0.1,12,2.55,0.17,3.1,1.3,0.019,0.03,0.6,18,0.32,31.84,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/146,3.1,16.6,0.36,0.016,2200,294,0.099,2.5,1.34,30.24,1.84,81.3,1.5,111,0.3,0.5,0.25,0.05,0.2,3,4.8,10.5,4.07,0.14,0.17,20.1,0.005,0.51,0.1096,0.47,0.48,0.14,1.5,0.05,0.11,10,2.7,0.18,1.8,1.5,0.009,0.023,0.3,9,0.31,35,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/155,6.5,34.7,0.57,0.025,3900,451,0.108,2.5,2.24,55.37,2.29,124,2.2,111,0.9,0.5,0.31,0.2,0.3,4,12.6,12.2,5.06,0.29,0.16,24.3,0.001,0.67,0.1354,1.05,0.8,0.19,1.5,0.05,0.24,13,2.18,0.25,4,2,0.008,0.029,0.15,19,0.15,33.82,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/156,7.3,42.1,0.66,0.029,2100,545,0.074,2.4,1.58,42.9,3,121.2,1.8,111,0.7,0.5,0.37,0.2,0.4,3.9,11.3,15.1,6.36,0.22,0.29,29.2,0.005,0.79,0.1721,0.82,0.85,0.19,1.8,0.05,0.025,14,2.82,0.27,3.4,1.9,0.014,0.039,0.15,23,0.2,33.61,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/157,12,41.7,0.82,0.033,12100,1387,0.348,1.6,4.74,207.64,4.4,113.4,2.4,111,1,0.5,0.52,0.2,0.6,4.3,11.4,20.4,9.34,0.36,0.34,41.2,0.001,0.81,0.1909,0.76,0.85,0.2,1.8,0.05,0.26,15,4.13,0.45,3.8,2.9,0.014,0.035,1.1,31,0.38,29.41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/207,20.7,106.9,2.01,0.098,53400,4244,0.782,2.3,23.51,457.52,6.75,181,2.5,111,1.6,1,2.12,0.4,0.4,4.9,21,51,7.35,0.61,0.17,131.1,0.001,2.22,0.1311,1.01,2.06,0.08,5.4,0.2,1.23,44,2.19,1.42,5.5,16.9,0.012,0.035,0.8,58,0.57,22.74,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/208,18.5,92.4,2.59,0.104,56800,4377,0.816,1.9,20.2,373.13,6.62,214.4,3.3,111,2.4,2,2.82,0.6,0.4,5.5,25.5,68.8,9.92,0.7,0.23,176.1,0.002,2.76,0.1417,0.83,2.8,0.06,6.1,0.2,0.96,48,2.05,1.88,8.7,28.5,0.013,0.027,0.7,45,0.58,23.62,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/217,6,43,1.94,0.079,15500,2705,0.6,9.9,13.83,123.28,5.18,253.3,1.9,111,1.9,0.5,1.43,0.5,0.4,5.7,22.1,71.8,13.23,0.67,0.8,112.8,0.001,1.5,0.1906,0.61,1.57,0.18,5,0.1,0.88,37,2.36,1.37,8.2,15.1,0.217,0.035,0.5,88,0.4,28.49,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/218,11.6,73.8,1.53,0.068,3800,1010,0.097,12,4.53,17.81,4.58,325.5,1.4,111,1.5,0.5,0.81,0.4,0.4,6.4,19.5,55.8,8.96,0.44,0.44,59.5,0.001,1.34,0.2136,0.68,1.43,0.23,3.8,0.2,0.35,28,2.97,0.73,5.5,9.2,0.325,0.035,0.15,69,0.44,29.34,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/219,11.1,72.5,1.32,0.054,3500,348,0.064,739.4,1.4,35.68,3.35,315.1,1.4,111,1.3,0.5,0.35,0.3,0.7,6.6,15,40.8,6.61,0.51,0.19,37.7,0.001,1.28,0.2004,0.58,1.24,0.45,3.7,0.1,0.58,23,3.34,0.4,6.1,4.6,0.2,0.038,0.15,48,0.51,30.85,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/221,14.7,111,2.73,0.108,2500,230,0.076,1461.6,0.85,35.57,3.63,444.4,2.3,111,2.4,1,0.58,0.6,0.3,7.1,27,64.4,9.11,0.7,0.27,59.3,0.004,1.81,0.1865,0.79,2.79,0.5,6.9,0.2,0.16,44,1.51,0.72,8.1,11.5,0.413,0.034,0.9,96,0.34,28.32,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/224,14.8,71.1,1.05,0.046,1800,108,0.069,1366.9,0.51,40.04,3.25,342.1,3.4,111,1,0.5,0.13,0.2,0.6,5.8,13.1,25,9.67,0.34,0.43,23.5,0.004,0.93,0.1734,1,1.07,0.58,2.5,0.05,0.31,19,3.08,0.23,4.8,3.6,0.109,0.034,0.9,31,0.44,32.8,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/226,10.7,52.5,1.1,0.049,1500,77,0.05,1377,0.44,21.76,3.2,308.9,3.2,111,0.8,0.5,0.18,0.2,0.4,7.6,12.1,21.4,7.78,0.45,0.35,21.4,0.004,1.02,0.1893,1.26,1.26,0.54,3.1,0.05,0.54,20,4.24,0.23,4.1,3.3,0.166,0.033,0.15,30,0.61,32.69,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/228,11.2,71.9,1.35,0.057,1700,164,0.057,1421.4,0.53,21.17,2.73,213.8,4.1,111,1.2,0.5,0.14,0.3,2.6,5.9,14.6,19.9,7.56,0.39,0.5,19.8,0.001,1.08,0.1687,0.81,1.24,0.53,4,0.1,0.22,22,2.61,0.25,5.1,4.9,0.211,0.033,0.15,31,0.45,33.17,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/229,9.6,51.8,1.23,0.056,2000,194,0.045,2039.1,0.8,17.66,2.24,137.1,3.3,111,1.2,0.5,0.12,0.3,21.3,6.8,17.7,18.6,7.34,0.47,0.3,18.9,0.004,0.88,0.1529,1.08,1.32,0.53,3.3,0.05,0.38,22,3.19,0.2,5.9,3.5,0.102,0.039,0.15,27,0.39,32.26,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/230,21,93.1,2.17,0.097,12800,1538,0.234,3387,6.25,91.91,4.39,186.3,2.1,111,2.4,0.5,0.25,0.6,0.4,10.7,28.8,21.1,9.65,0.73,0.39,21.5,0.004,1.53,0.2307,0.8,2.23,0.81,6.5,0.2,1.03,44,4.81,0.25,7.5,6.2,0.18,0.044,0.3,29,0.69,27.2,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/231,4.9,18.1,0.38,0.015,1500,609,0.063,324.6,2.03,18.66,1.5,89,1.7,111,0.4,0.5,0.11,0.05,1.6,4.1,4.3,10.8,3.47,0.12,0.18,12,0.004,0.49,0.1291,0.43,0.36,0.21,0.8,0.05,0.22,4,3.05,0.12,3,1.3,0.023,0.028,0.15,9,0.29,36.85,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/236,5.1,17.5,0.36,0.014,5400,1647,0.108,193.8,3.47,29.03,2.27,95.7,2.6,111,0.3,0.5,0.25,0.05,0.3,3.6,3.7,10,4.28,0.09,0.12,16.3,0.014,0.47,0.0571,0.79,0.44,0.3,1,0.05,0.13,5,1.97,0.17,2.6,2.2,0.025,0.036,0.3,14,0.26,34.51,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/237,4.8,20.9,0.44,0.022,4900,876,0.13,556.5,2.32,19.8,3.37,138.1,1.9,111,0.4,0.5,0.24,0.1,2.7,4.6,5.5,13.3,9.61,0.1,0.24,19.2,0.001,0.7,0.108,0.96,0.5,0.35,1,0.05,0.33,8,3.96,0.2,3.8,2.1,0.075,0.032,0.15,19,0.5,32.17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/238,8,41.2,0.64,0.028,13700,2174,0.315,1181.5,5.19,82.95,5.62,178.3,2.1,111,0.5,0.5,0.23,0.1,2,6,7.1,19.2,5.13,0.16,0.18,23.2,0.004,0.86,0.1261,0.69,0.89,0.54,1.6,0.05,0.68,13,4.8,0.26,3.3,2.8,0.14,0.031,0.5,27,0.65,31.7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/239,10.7,63.6,0.88,0.038,1800,418,0.067,1575.5,1.01,4.28,4.3,248.8,1.9,111,0.8,0.5,0.23,0.2,0.5,6.2,9.7,20.1,6.03,0.25,0.27,22.6,0.004,1.11,0.1438,0.37,0.94,0.54,2.2,0.05,0.35,14,4.24,0.28,3.4,3,0.229,0.038,0.15,34,0.67,31.9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/241,10.8,55.1,1.55,0.059,46500,8907,0.552,1061.3,27.27,265.21,4.73,266.1,2.4,111,1.3,0.5,0.76,0.3,0.3,5.8,18.9,36.6,7.42,0.6,0.18,57.4,0.001,1.42,0.201,0.7,1.53,1.79,3.4,0.1,0.62,24,2.86,0.62,5.8,7.6,0.095,0.029,0.4,59,0.59,26.89,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/242,8.3,46.6,1.61,0.058,36300,7086,0.597,5090.3,22.07,227.64,4.58,358.3,2.9,111,1.4,2,0.34,0.3,0.2,4.7,16.4,30.1,7.56,0.49,0.28,36.5,0.011,1.12,0.1589,1.39,1.38,2.19,3.6,0.1,0.67,25,2.16,0.45,4.8,5.4,0.152,0.024,0.4,63,0.58,22.81,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/243,13.3,76.1,2.11,0.088,3800,83,0.051,528.7,0.39,38.74,3.9,682.5,4.4,111,2,0.5,0.3,0.5,0.2,6.6,23.8,35.8,8.38,0.68,0.49,45.4,0.008,1.62,0.2423,1.4,1.69,0.52,5.1,0.2,0.11,34,3.2,0.5,7.9,6.1,0.202,0.023,0.15,70,0.49,26.48,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/244,10.1,68.7,1.46,0.062,1600,55,0.046,55.9,0.28,29.57,3.61,577.9,4.7,111,1.5,0.5,0.31,0.3,0.4,6.5,16.3,45.9,6.17,0.4,0.44,42.6,0.007,1.22,0.224,1.15,1.53,0.64,3.6,0.1,0.65,25,4.11,0.48,6.8,5.5,0.166,0.035,0.15,65,0.63,29.48,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/222,2.9,17.3,0.42,0.017,2700,1108,0.123,2.6,3.57,21.73,4.19,116,1.3,111,0.4,0.5,0.38,0.2,0.2,3.7,3.6,10.1,5.55,0.14,0.17,24.9,0.001,0.59,0.0635,0.63,0.4,0.24,1.1,0.05,0.11,8,1.79,0.26,2.4,3.1,0.009,0.032,0.15,17,0.34,36.2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/268,12,90.5,2.55,0.085,3000,3141,0.159,13.4,8.68,38.36,3.53,250.1,3.3,111,2.1,1,1.25,0.6,0.7,6,20.1,41.8,11.48,0.59,0.37,102.5,0.001,1.93,0.1011,0.68,1.92,0.18,5.9,0.2,0.17,40,1.81,1.07,7.3,12.9,0.023,0.033,0.15,103,0.25,28.04,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/269,44,84.9,1.99,0.094,18600,5521,0.367,343.6,12.93,222.08,8.56,282.5,2.4,111,1.5,0.5,1.13,0.6,0.6,8,18.3,38.4,7.8,0.46,0.31,89.7,0.012,2.26,0.166,1.38,2.22,0.48,5.6,0.2,0.66,39,3.08,0.99,4.8,11.2,0.024,0.036,0.6,90,0.45,22.3,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/276,24.6,121.4,3.64,0.098,6300,743,0.101,657.9,2.66,100.75,2.78,285.9,3,111,2.2,1,0.78,0.6,1.1,8.7,24.6,42.1,11.97,0.72,0.42,70.6,0.001,2.92,0.1764,1.36,2.52,0.47,6.6,0.2,0.45,71,2.31,0.74,4.2,8.9,0.06,0.048,0.15,88,0.26,31.27,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/277,5.2,25,0.61,0.019,3100,494,0.077,8.4,0.91,12.69,1.92,111.8,1.8,111,0.5,0.5,0.11,0.1,0.5,5.7,4.2,32.4,3.39,0.13,0.13,28.3,0.001,0.5,0.0954,0.57,0.52,0.55,1,0.05,0.025,10,4.78,0.24,5.5,1.6,0.079,0.029,0.15,31,0.22,28.43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/278,3.9,18.7,0.25,0.011,6800,594,0.135,1101.9,1.34,71.4,2,149.9,1.8,111,0.2,0.5,0.07,0.05,0.3,3.9,2.7,12.6,4.15,0.08,0.07,12.6,0.001,0.22,0.052,0.64,0.29,0.5,0.7,0.05,0.025,7,3.06,0.11,3,0.5,0.031,0.032,0.15,14,0.36,35.46,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/279,4.7,26.9,0.75,0.028,6600,1746,0.162,1392.4,2.89,47.09,2.33,175,2.9,111,0.5,0.5,0.33,0.2,0.4,6.8,6.6,34.1,6.1,0.19,0.22,38.7,0.001,0.86,0.1309,0.59,0.66,0.68,1.8,0.05,0.28,12,6.26,0.36,6.5,1.7,0.07,0.03,0.15,41,0.3,29.54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/282,13.2,73.2,2.61,0.103,11800,2634,0.265,1171.8,7.05,127.86,2.92,389.1,2.6,111,2.7,0.5,0.79,0.6,0.4,7,32,54.2,9.33,0.95,0.45,72.5,0.004,1.71,0.2001,1.27,2.51,0.62,5.9,0.2,0.25,40,2.28,0.82,8,7.3,0.078,0.033,0.6,101,0.34,25.05,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/283,12.7,74.3,2.18,0.089,9600,500,0.133,1586.8,4.03,117.65,3.1,423.7,3,111,1.9,0.5,0.59,0.5,1,8.1,21.9,53.4,10.54,0.59,0.36,63.8,0.001,1.72,0.22,1.71,1.83,0.92,6.1,0.2,0.66,38,3.14,0.69,7.1,6.5,0.094,0.03,0.6,78,0.41,27.73,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/284,37,206.6,1.71,0.078,60500,6636,0.953,8.5,32.52,1363.36,8.78,149.5,1.9,111,1.8,1,1.03,0.5,5.9,8,24.1,23.7,6.86,0.63,0.16,65.6,0.003,1.2,0.132,1.15,2.04,0.2,4.4,0.2,0.52,32,5.52,0.77,9.3,9.7,0.025,0.041,0.9,62,0.33,21.4,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
